 # Mon Nov 10 18:17:11 2008
 # MSTW 2008 NNLO PDF grid for central fit.
 # distance(t),tolerance(T) =   0.  0.
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.45077
 # alphaS(MZ) = 0.11707
 # alphaSorder,alphaSnfmax = 2, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv         xcv         xbv
  4.6046E+02  1.4230E+01  1.4237E+01  1.3849E+01  1.3550E+01  1.2838E+01  4.6379E-04  7.4945E-03 -5.8857E-04  1.1301E-04  3.8586E-05
  5.1364E+02  1.5761E+01  1.5768E+01  1.5382E+01  1.5080E+01  1.4364E+01  4.8032E-04  7.5777E-03 -5.9010E-04  1.1528E-04  3.9924E-05
  5.6910E+02  1.7370E+01  1.7377E+01  1.6991E+01  1.6687E+01  1.5968E+01  4.9681E-04  7.6596E-03 -5.9163E-04  1.1746E-04  4.1193E-05
  6.2483E+02  1.8997E+01  1.9005E+01  1.8620E+01  1.8313E+01  1.7591E+01  5.1271E-04  7.7376E-03 -5.9311E-04  1.1950E-04  4.2359E-05
  6.8036E+02  2.0631E+01  2.0638E+01  2.0254E+01  1.9945E+01  1.9220E+01  5.2797E-04  7.8115E-03 -5.9453E-04  1.2138E-04  4.3427E-05
  7.3914E+02  2.2372E+01  2.2379E+01  2.1996E+01  2.1685E+01  2.0957E+01  5.4357E-04  7.8862E-03 -5.9598E-04  1.2324E-04  4.4472E-05
  7.9995E+02  2.4185E+01  2.4193E+01  2.3811E+01  2.3498E+01  2.2767E+01  5.5918E-04  7.9600E-03 -5.9743E-04  1.2504E-04  4.5474E-05
  8.6059E+02  2.6007E+01  2.6014E+01  2.5633E+01  2.5318E+01  2.4585E+01  5.7428E-04  8.0307E-03 -5.9883E-04  1.2673E-04  4.6403E-05
  9.2053E+02  2.7819E+01  2.7827E+01  2.7447E+01  2.7130E+01  2.6395E+01  5.8880E-04  8.0979E-03 -6.0016E-04  1.2831E-04  4.7263E-05
  9.8351E+02  2.9736E+01  2.9744E+01  2.9365E+01  2.9046E+01  2.8308E+01  6.0367E-04  8.1660E-03 -6.0153E-04  1.2988E-04  4.8112E-05
  1.0482E+03  3.1718E+01  3.1725E+01  3.1347E+01  3.1026E+01  3.0287E+01  6.1858E-04  8.2336E-03 -6.0289E-04  1.3142E-04  4.8932E-05
  1.1124E+03  3.3698E+01  3.3705E+01  3.3328E+01  3.3005E+01  3.2264E+01  6.3304E-04  8.2984E-03 -6.0420E-04  1.3287E-04  4.9700E-05
  1.1755E+03  3.5657E+01  3.5665E+01  3.5288E+01  3.4964E+01  3.4221E+01  6.4696E-04  8.3603E-03 -6.0546E-04  1.3422E-04  5.0414E-05
  1.2414E+03  3.7716E+01  3.7724E+01  3.7348E+01  3.7023E+01  3.6278E+01  6.6123E-04  8.4231E-03 -6.0674E-04  1.3559E-04  5.1125E-05
  1.3091E+03  3.9844E+01  3.9852E+01  3.9477E+01  3.9150E+01  3.8403E+01  6.7558E-04  8.4857E-03 -6.0802E-04  1.3692E-04  5.1816E-05
  1.3757E+03  4.1950E+01  4.1958E+01  4.1583E+01  4.1255E+01  4.0506E+01  6.8948E-04  8.5458E-03 -6.0925E-04  1.3818E-04  5.2466E-05
  1.4412E+03  4.4035E+01  4.4043E+01  4.3669E+01  4.3339E+01  4.2589E+01  7.0291E-04  8.6032E-03 -6.1042E-04  1.3937E-04  5.3075E-05
  1.5094E+03  4.6215E+01  4.6223E+01  4.5850E+01  4.5519E+01  4.4767E+01  7.1669E-04  8.6618E-03 -6.1163E-04  1.4057E-04  5.3684E-05
 -2.1080E+01  6.4817E-01  6.5390E-01  2.4840E-01  0.0000E+00  0.0000E+00  5.3980E-06  5.7358E-03 -6.7758E-04  0.0000E+00  0.0000E+00
 -2.3770E+01  5.6948E-01  5.7534E-01  1.7302E-01  0.0000E+00  0.0000E+00  3.9012E-05  5.9160E-03 -6.6878E-04  0.0000E+00  0.0000E+00
 -2.5604E+01  5.2197E-01  5.2794E-01  1.2790E-01  0.0000E+00  0.0000E+00  6.3743E-05  6.0488E-03 -6.6311E-04  0.0000E+00  0.0000E+00
 -2.7598E+01  4.7731E-01  4.8341E-01  8.6292E-02  0.0000E+00  0.0000E+00  9.6574E-05  6.2249E-03 -6.5660E-04  0.0000E+00  0.0000E+00
 -2.7417E+01  4.7757E-01  4.8369E-01  8.6718E-02 -2.3478E-01  0.0000E+00  9.7584E-05  6.2333E-03 -6.5705E-04  3.1888E-11  0.0000E+00
 -2.8405E+01  4.6744E-01  4.7366E-01  7.8949E-02 -2.4844E-01  0.0000E+00  1.2495E-04  6.3750E-03 -6.5209E-04  1.2430E-05  0.0000E+00
 -2.8688E+01  4.7705E-01  4.8338E-01  9.0761E-02 -2.4077E-01  0.0000E+00  1.5096E-04  6.5100E-03 -6.4812E-04  2.2949E-05  0.0000E+00
 -2.8322E+01  5.0278E-01  5.0919E-01  1.1832E-01 -2.1660E-01  0.0000E+00  1.7306E-04  6.6244E-03 -6.4522E-04  3.1366E-05  0.0000E+00
 -2.7355E+01  5.4424E-01  5.5074E-01  1.6148E-01 -1.7654E-01  0.0000E+00  1.9402E-04  6.7325E-03 -6.4284E-04  3.8919E-05  0.0000E+00
 -2.5584E+01  6.0797E-01  6.1456E-01  2.2695E-01 -1.1421E-01  0.0000E+00  2.1604E-04  6.8457E-03 -6.4071E-04  4.6428E-05  0.0000E+00
 -2.3363E+01  6.8105E-01  6.8771E-01  3.0150E-01 -4.2285E-02  0.0000E+00  2.3504E-04  6.9429E-03 -6.3916E-04  5.2567E-05  0.0000E+00
 -2.0540E+01  7.6899E-01  7.7572E-01  3.9083E-01  4.4618E-02  0.0000E+00  2.5329E-04  7.0359E-03 -6.3792E-04  5.8171E-05  0.0000E+00
 -1.7812E+01  8.5119E-01  8.5798E-01  4.7410E-01  1.2602E-01  0.0000E+00  2.6769E-04  7.1089E-03 -6.3709E-04  6.2408E-05  0.0000E+00
 -5.5786E+00  1.2053E+00  1.2123E+00  8.3163E-01  4.7783E-01  0.0000E+00  3.1460E-04  7.3442E-03 -6.3524E-04  7.5129E-05  0.0000E+00
 -4.6078E+00  1.2056E+00  1.2126E+00  8.3199E-01  4.7807E-01 -3.5189E-01  3.1525E-04  7.3479E-03 -6.3537E-04  7.5174E-05  7.4030E-13
 -1.6226E+00  1.3020E+00  1.3090E+00  9.2898E-01  5.7396E-01 -2.4512E-01  3.2514E-04  7.3962E-03 -6.3506E-04  7.7674E-05  2.2114E-06
  9.1942E+00  1.6231E+00  1.6303E+00  1.2521E+00  8.9390E-01  7.0401E-02  3.5473E-04  7.5401E-03 -6.3449E-04  8.4744E-05  7.5843E-06
  2.2913E+01  2.0232E+00  2.0304E+00  1.6542E+00  1.2928E+00  4.6629E-01  3.8574E-04  7.6888E-03 -6.3425E-04  9.1622E-05  1.2757E-05
  3.7720E+01  2.4497E+00  2.4570E+00  2.0824E+00  1.7183E+00  8.8928E-01  4.1411E-04  7.8230E-03 -6.3432E-04  9.7483E-05  1.7095E-05
  5.5072E+01  2.9458E+00  2.9533E+00  2.5803E+00  2.2136E+00  1.3822E+00  4.4302E-04  7.9579E-03 -6.3463E-04  1.0306E-04  2.1160E-05
  7.1396E+01  3.4108E+00  3.4183E+00  3.0467E+00  2.6779E+00  1.8447E+00  4.6724E-04  8.0695E-03 -6.3506E-04  1.0746E-04  2.4319E-05
  9.3685E+01  4.0448E+00  4.0525E+00  3.6824E+00  3.3111E+00  2.4759E+00  4.9693E-04  8.2044E-03 -6.3577E-04  1.1253E-04  2.7906E-05
  1.1573E+02  4.6721E+00  4.6799E+00  4.3111E+00  3.9378E+00  3.1010E+00  5.2352E-04  8.3235E-03 -6.3654E-04  1.1680E-04  3.0880E-05
  1.3792E+02  5.3050E+00  5.3128E+00  4.9453E+00  4.5702E+00  3.7320E+00  5.4817E-04  8.4325E-03 -6.3737E-04  1.2055E-04  3.3455E-05
  1.6897E+02  6.1931E+00  6.2010E+00  5.8351E+00  5.4578E+00  4.6179E+00  5.7986E-04  8.5707E-03 -6.3857E-04  1.2510E-04  3.6527E-05
  2.0113E+02  7.1178E+00  7.1258E+00  6.7611E+00  6.3819E+00  5.5407E+00  6.1011E-04  8.7005E-03 -6.3983E-04  1.2917E-04  3.9237E-05
  2.3398E+02  8.0673E+00  8.0754E+00  7.7121E+00  7.3311E+00  6.4887E+00  6.3886E-04  8.8222E-03 -6.4111E-04  1.3283E-04  4.1632E-05
  2.6948E+02  9.1001E+00  9.1083E+00  8.7462E+00  8.3636E+00  7.5200E+00  6.6802E-04  8.9437E-03 -6.4248E-04  1.3634E-04  4.3897E-05
  3.0686E+02  1.0195E+01  1.0203E+01  9.8419E+00  9.4577E+00  8.6132E+00  6.9697E-04  9.0628E-03 -6.4391E-04  1.3966E-04  4.6000E-05
  3.4477E+02  1.1313E+01  1.1321E+01  1.0961E+01  1.0575E+01  9.7302E+00  7.2480E-04  9.1757E-03 -6.4533E-04  1.4268E-04  4.7893E-05
  3.8264E+02  1.2437E+01  1.2445E+01  1.2087E+01  1.1700E+01  1.0854E+01  7.5138E-04  9.2821E-03 -6.4672E-04  1.4544E-04  4.9599E-05
  4.2302E+02  1.3645E+01  1.3653E+01  1.3295E+01  1.2907E+01  1.2061E+01  7.7849E-04  9.3893E-03 -6.4817E-04  1.4813E-04  5.1239E-05
  4.6487E+02  1.4906E+01  1.4914E+01  1.4557E+01  1.4168E+01  1.3321E+01  8.0553E-04  9.4949E-03 -6.4963E-04  1.5070E-04  5.2787E-05
  5.0668E+02  1.6175E+01  1.6183E+01  1.5827E+01  1.5437E+01  1.4589E+01  8.3159E-04  9.5954E-03 -6.5107E-04  1.5308E-04  5.4202E-05
  5.4811E+02  1.7441E+01  1.7450E+01  1.7095E+01  1.6703E+01  1.5855E+01  8.5658E-04  9.6908E-03 -6.5246E-04  1.5527E-04  5.5493E-05
  5.9175E+02  1.8784E+01  1.8793E+01  1.8439E+01  1.8047E+01  1.7198E+01  8.8212E-04  9.7873E-03 -6.5388E-04  1.5743E-04  5.6750E-05
  6.3666E+02  2.0177E+01  2.0186E+01  1.9833E+01  1.9439E+01  1.8591E+01  9.0768E-04  9.8827E-03 -6.5532E-04  1.5952E-04  5.7951E-05
  6.8124E+02  2.1569E+01  2.1578E+01  2.1226E+01  2.0832E+01  1.9983E+01  9.3238E-04  9.9740E-03 -6.5672E-04  1.6146E-04  5.9059E-05
  7.2511E+02  2.2949E+01  2.2958E+01  2.2606E+01  2.2211E+01  2.1362E+01  9.5613E-04  1.0061E-02 -6.5806E-04  1.6327E-04  6.0081E-05
  7.7100E+02  2.4402E+01  2.4411E+01  2.4060E+01  2.3664E+01  2.2815E+01  9.8044E-04  1.0149E-02 -6.5943E-04  1.6507E-04  6.1085E-05
  8.1795E+02  2.5899E+01  2.5908E+01  2.5557E+01  2.5161E+01  2.4311E+01  1.0048E-03  1.0237E-02 -6.6081E-04  1.6681E-04  6.2053E-05
  8.6434E+02  2.7388E+01  2.7397E+01  2.7047E+01  2.6650E+01  2.5801E+01  1.0284E-03  1.0321E-02 -6.6215E-04  1.6845E-04  6.2953E-05
  9.0980E+02  2.8857E+01  2.8866E+01  2.8517E+01  2.8119E+01  2.7269E+01  1.0511E-03  1.0401E-02 -6.6343E-04  1.6999E-04  6.3789E-05
  9.5713E+02  3.0395E+01  3.0404E+01  3.0056E+01  2.9658E+01  2.8808E+01  1.0744E-03  1.0482E-02 -6.6474E-04  1.7152E-04  6.4618E-05
  1.0055E+03  3.1979E+01  3.1988E+01  3.1641E+01  3.1242E+01  3.0392E+01  1.0978E-03  1.0563E-02 -6.6605E-04  1.7301E-04  6.5419E-05
  1.0530E+03  3.3542E+01  3.3551E+01  3.3204E+01  3.2805E+01  3.1955E+01  1.1204E-03  1.0641E-02 -6.6732E-04  1.7442E-04  6.6172E-05
  1.0995E+03  3.5084E+01  3.5093E+01  3.4747E+01  3.4347E+01  3.3497E+01  1.1423E-03  1.0716E-02 -6.6853E-04  1.7575E-04  6.6873E-05
  1.1478E+03  3.6693E+01  3.6702E+01  3.6356E+01  3.5955E+01  3.5106E+01  1.1647E-03  1.0792E-02 -6.6978E-04  1.7708E-04  6.7572E-05
 -1.6563E+01  5.9564E-01  6.0264E-01  2.2818E-01  0.0000E+00  0.0000E+00  2.5002E-05  7.0263E-03 -7.7982E-04  0.0000E+00  0.0000E+00
 -1.8377E+01  5.6068E-01  5.6785E-01  1.9628E-01  0.0000E+00  0.0000E+00  7.9994E-05  7.2587E-03 -7.6513E-04  0.0000E+00  0.0000E+00
 -1.9475E+01  5.4562E-01  5.5292E-01  1.8342E-01  0.0000E+00  0.0000E+00  1.2057E-04  7.4300E-03 -7.5562E-04  0.0000E+00  0.0000E+00
 -2.0412E+01  5.4366E-01  5.5112E-01  1.8427E-01  0.0000E+00  0.0000E+00  1.7460E-04  7.6572E-03 -7.4458E-04  0.0000E+00  0.0000E+00
 -2.0104E+01  5.4378E-01  5.5124E-01  1.8454E-01 -2.3592E-01  0.0000E+00  1.7630E-04  7.6678E-03 -7.4508E-04  4.3015E-11  0.0000E+00
 -2.0286E+01  5.6744E-01  5.7504E-01  2.1039E-01 -2.1158E-01  0.0000E+00  2.2128E-04  7.8508E-03 -7.3677E-04  1.6712E-05  0.0000E+00
 -1.9794E+01  6.0711E-01  6.1483E-01  2.5208E-01 -1.7152E-01  0.0000E+00  2.6418E-04  8.0252E-03 -7.2999E-04  3.0731E-05  0.0000E+00
 -1.8803E+01  6.5639E-01  6.6421E-01  3.0304E-01 -1.2186E-01  0.0000E+00  3.0072E-04  8.1731E-03 -7.2494E-04  4.1865E-05  0.0000E+00
 -1.7301E+01  7.1802E-01  7.2595E-01  3.6624E-01 -5.9840E-02  0.0000E+00  3.3546E-04  8.3129E-03 -7.2072E-04  5.1789E-05  0.0000E+00
 -1.5054E+01  8.0016E-01  8.0819E-01  4.4998E-01  2.2727E-02  0.0000E+00  3.7207E-04  8.4594E-03 -7.1684E-04  6.1588E-05  0.0000E+00
 -1.2517E+01  8.8639E-01  8.9451E-01  5.3757E-01  1.0935E-01  0.0000E+00  4.0372E-04  8.5852E-03 -7.1393E-04  6.9549E-05  0.0000E+00
 -9.4956E+00  9.8412E-01  9.9233E-01  6.3658E-01  2.0748E-01  0.0000E+00  4.3418E-04  8.7056E-03 -7.1150E-04  7.6773E-05  0.0000E+00
 -6.6940E+00  1.0719E+00  1.0802E+00  7.2533E-01  2.9558E-01  0.0000E+00  4.5826E-04  8.8002E-03 -7.0980E-04  8.2208E-05  0.0000E+00
  5.1453E+00  1.4286E+00  1.4371E+00  1.0851E+00  6.5340E-01  0.0000E+00  5.3691E-04  9.1054E-03 -7.0555E-04  9.8373E-05  0.0000E+00
  6.0058E+00  1.4287E+00  1.4372E+00  1.0853E+00  6.5350E-01 -2.8838E-01  5.3799E-04  9.1101E-03 -7.0569E-04  9.8424E-05  9.6756E-13
  8.7757E+00  1.5216E+00  1.5302E+00  1.1788E+00  7.4671E-01 -1.8274E-01  5.5455E-04  9.1729E-03 -7.0493E-04  1.0157E-04  2.8890E-06
  1.8585E+01  1.8250E+00  1.8336E+00  1.4840E+00  1.0508E+00  1.2139E-01  6.0422E-04  9.3598E-03 -7.0317E-04  1.1043E-04  9.8743E-06
  3.0690E+01  2.1924E+00  2.2012E+00  1.8533E+00  1.4191E+00  4.9104E-01  6.5632E-04  9.5531E-03 -7.0187E-04  1.1896E-04  1.6551E-05
  4.3463E+01  2.5751E+00  2.5840E+00  2.2376E+00  1.8026E+00  8.7587E-01  7.0406E-04  9.7278E-03 -7.0111E-04  1.2617E-04  2.2108E-05
  5.8149E+01  3.0118E+00  3.0209E+00  2.6759E+00  2.2402E+00  1.3148E+00  7.5273E-04  9.9036E-03 -7.0071E-04  1.3298E-04  2.7282E-05
  7.1751E+01  3.4148E+00  3.4239E+00  3.0801E+00  2.6438E+00  1.7197E+00  7.9354E-04  1.0049E-02 -7.0061E-04  1.3830E-04  3.1276E-05
  9.0053E+01  3.9562E+00  3.9655E+00  3.6231E+00  3.1862E+00  2.2636E+00  8.4359E-04  1.0225E-02 -7.0078E-04  1.4439E-04  3.5782E-05
  1.0791E+02  4.4848E+00  4.4942E+00  4.1531E+00  3.7156E+00  2.7944E+00  8.8840E-04  1.0381E-02 -7.0114E-04  1.4948E-04  3.9492E-05
  1.2568E+02  5.0122E+00  5.0217E+00  4.6816E+00  4.2437E+00  3.3238E+00  9.2995E-04  1.0523E-02 -7.0165E-04  1.5391E-04  4.2685E-05
  1.5024E+02  5.7437E+00  5.7533E+00  5.4146E+00  4.9762E+00  4.0580E+00  9.8336E-04  1.0704E-02 -7.0249E-04  1.5924E-04  4.6469E-05
  1.7538E+02  6.4965E+00  6.5062E+00  6.1687E+00  5.7299E+00  4.8135E+00  1.0343E-03  1.0874E-02 -7.0348E-04  1.6398E-04  4.9782E-05
  2.0078E+02  7.2617E+00  7.2716E+00  6.9352E+00  6.4961E+00  5.5812E+00  1.0827E-03  1.1033E-02 -7.0456E-04  1.6820E-04  5.2688E-05
  2.2797E+02  8.0863E+00  8.0962E+00  7.7610E+00  7.3216E+00  6.4083E+00  1.1318E-03  1.1193E-02 -7.0577E-04  1.7222E-04  5.5418E-05
  2.5632E+02  8.9524E+00  8.9624E+00  8.6283E+00  8.1886E+00  7.2769E+00  1.1804E-03  1.1349E-02 -7.0706E-04  1.7598E-04  5.7936E-05
  2.8482E+02  9.8298E+00  9.8400E+00  9.5068E+00  9.0669E+00  8.1568E+00  1.2272E-03  1.1497E-02 -7.0839E-04  1.7938E-04  6.0185E-05
  3.1307E+02  1.0706E+01  1.0716E+01  1.0384E+01  9.9438E+00  9.0352E+00  1.2718E-03  1.1637E-02 -7.0971E-04  1.8247E-04  6.2200E-05
  3.4295E+02  1.1640E+01  1.1650E+01  1.1319E+01  1.0879E+01  9.9718E+00  1.3172E-03  1.1778E-02 -7.1112E-04  1.8546E-04  6.4124E-05
  3.7370E+02  1.2609E+01  1.2619E+01  1.2289E+01  1.1849E+01  1.0943E+01  1.3625E-03  1.1917E-02 -7.1256E-04  1.8829E-04  6.5928E-05
  4.0421E+02  1.3578E+01  1.3588E+01  1.3259E+01  1.2818E+01  1.1914E+01  1.4061E-03  1.2049E-02 -7.1398E-04  1.9090E-04  6.7568E-05
  4.3426E+02  1.4539E+01  1.4550E+01  1.4221E+01  1.3781E+01  1.2878E+01  1.4479E-03  1.2175E-02 -7.1537E-04  1.9328E-04  6.9054E-05
  4.6570E+02  1.5553E+01  1.5564E+01  1.5236E+01  1.4795E+01  1.3894E+01  1.4905E-03  1.2302E-02 -7.1682E-04  1.9562E-04  7.0494E-05
  4.9787E+02  1.6599E+01  1.6609E+01  1.6282E+01  1.5842E+01  1.4942E+01  1.5331E-03  1.2428E-02 -7.1828E-04  1.9786E-04  7.1859E-05
  5.2961E+02  1.7638E+01  1.7649E+01  1.7323E+01  1.6882E+01  1.5984E+01  1.5743E-03  1.2548E-02 -7.1970E-04  1.9994E-04  7.3113E-05
  5.6068E+02  1.8664E+01  1.8674E+01  1.8349E+01  1.7908E+01  1.7011E+01  1.6138E-03  1.2663E-02 -7.2108E-04  2.0187E-04  7.4262E-05
  5.9302E+02  1.9739E+01  1.9749E+01  1.9424E+01  1.8984E+01  1.8088E+01  1.6541E-03  1.2780E-02 -7.2250E-04  2.0377E-04  7.5385E-05
  6.2593E+02  2.0840E+01  2.0851E+01  2.0527E+01  2.0086E+01  1.9192E+01  1.6946E-03  1.2895E-02 -7.2393E-04  2.0560E-04  7.6461E-05
  6.5829E+02  2.1932E+01  2.1943E+01  2.1619E+01  2.1178E+01  2.0285E+01  1.7337E-03  1.3006E-02 -7.2532E-04  2.0731E-04  7.7457E-05
  6.8985E+02  2.3004E+01  2.3015E+01  2.2692E+01  2.2251E+01  2.1359E+01  1.7713E-03  1.3112E-02 -7.2665E-04  2.0891E-04  7.8376E-05
  7.2256E+02  2.4122E+01  2.4134E+01  2.3811E+01  2.3370E+01  2.2480E+01  1.8098E-03  1.3220E-02 -7.2802E-04  2.1049E-04  7.9283E-05
  7.5585E+02  2.5269E+01  2.5280E+01  2.4958E+01  2.4518E+01  2.3628E+01  1.8484E-03  1.3327E-02 -7.2939E-04  2.1203E-04  8.0155E-05
  7.8838E+02  2.6396E+01  2.6408E+01  2.6086E+01  2.5646E+01  2.4758E+01  1.8858E-03  1.3430E-02 -7.3072E-04  2.1348E-04  8.0970E-05
  8.2012E+02  2.7504E+01  2.7516E+01  2.7195E+01  2.6754E+01  2.5867E+01  1.9218E-03  1.3529E-02 -7.3200E-04  2.1483E-04  8.1726E-05
  8.5292E+02  2.8656E+01  2.8668E+01  2.8347E+01  2.7907E+01  2.7021E+01  1.9587E-03  1.3629E-02 -7.3331E-04  2.1618E-04  8.2476E-05
 -1.4386E+01  5.6700E-01  5.7483E-01  2.1716E-01  0.0000E+00  0.0000E+00  2.9459E-05  7.8569E-03 -8.4497E-04  0.0000E+00  0.0000E+00
 -1.5784E+01  5.4977E-01  5.5778E-01  2.0285E-01  0.0000E+00  0.0000E+00  9.7335E-05  8.1226E-03 -8.2608E-04  0.0000E+00  0.0000E+00
 -1.6544E+01  5.4750E-01  5.5565E-01  2.0267E-01  0.0000E+00  0.0000E+00  1.4744E-04  8.3184E-03 -8.1382E-04  0.0000E+00  0.0000E+00
 -1.7020E+01  5.6175E-01  5.7009E-01  2.1961E-01  0.0000E+00  0.0000E+00  2.1422E-04  8.5781E-03 -7.9954E-04  0.0000E+00  0.0000E+00
 -1.6671E+01  5.6180E-01  5.7015E-01  2.1981E-01 -2.2924E-01  0.0000E+00  2.1634E-04  8.5903E-03 -8.0007E-04  5.0864E-11  0.0000E+00
 -1.6520E+01  5.9740E-01  6.0589E-01  2.5748E-01 -1.9127E-01  0.0000E+00  2.7194E-04  8.7995E-03 -7.8935E-04  1.9733E-05  0.0000E+00
